threshold,pct_flagged,accuracy,kappa,false_alarm,missed_fail
-0.9073,94.8,0.1137,0.0029,0.9471,0.0323
-0.8978,89.9,0.1545,0.0006,0.8989,0.0968
-0.8867,85.0,0.2039,0.0089,0.846,0.0968
-0.8791,80.0,0.2489,0.0123,0.7954,0.129
-0.8717,74.9,0.2833,-0.0013,0.7494,0.2581
-0.8648,70.0,0.3283,0.002,0.6989,0.2903
-0.8575,65.0,0.3734,0.0057,0.6483,0.3226
-0.851,60.1,0.4227,0.0173,0.5954,0.3226
-0.8447,54.9,0.47,0.0235,0.5425,0.3548
-0.8393,50.0,0.515,0.03,0.492,0.3871
-0.8326,45.1,0.5601,0.0378,0.4414,0.4194
-0.8278,40.1,0.6009,0.0369,0.3931,0.4839
-0.8201,35.0,0.6481,0.0482,0.3402,0.5161
-0.8125,30.0,0.6888,0.0484,0.292,0.5806
-0.8016,25.1,0.7296,0.0486,0.2437,0.6452
-0.7895,20.2,0.779,0.0844,0.1908,0.6452
-0.7732,15.0,0.8219,0.0947,0.1402,0.7097
-0.7478,10.1,0.867,0.1358,0.0897,0.7419
-0.7044,5.2,0.9034,0.1314,0.0437,0.8387
