skip_pct,skip_precision,recall_sc_fail,n_missed,n_caught,signal
0,1.0,1.0,0,31,full_trace
5,0.9565,0.9677,1,30,full_trace
10,0.9348,0.9032,3,28,full_trace
15,0.9565,0.9032,3,28,full_trace
20,0.9677,0.9032,3,28,full_trace
25,0.9397,0.7742,7,24,full_trace
30,0.9353,0.7097,9,22,full_trace
35,0.9387,0.6774,10,21,full_trace
40,0.9462,0.6774,10,21,full_trace
45,0.9474,0.6452,11,20,full_trace
50,0.9442,0.5806,13,18,full_trace
55,0.9492,0.5806,13,18,full_trace
60,0.9462,0.5161,15,16,full_trace
65,0.9437,0.4516,17,14,full_trace
70,0.9387,0.3548,20,11,full_trace
75,0.9427,0.3548,20,11,full_trace
80,0.9462,0.3548,20,11,full_trace
85,0.9444,0.2903,22,9,full_trace
90,0.9451,0.2581,23,8,full_trace
95,0.9412,0.1613,26,5,full_trace
0,1.0,1.0,0,31,prefinal_full
5,0.9565,0.9677,1,30,prefinal_full
10,0.9348,0.9032,3,28,prefinal_full
15,0.9565,0.9032,3,28,prefinal_full
20,0.957,0.871,4,27,prefinal_full
25,0.9397,0.7742,7,24,prefinal_full
30,0.9353,0.7097,9,22,prefinal_full
35,0.9387,0.6774,10,21,prefinal_full
40,0.9462,0.6774,10,21,prefinal_full
45,0.9474,0.6452,11,20,prefinal_full
50,0.9485,0.6129,12,19,prefinal_full
55,0.9492,0.5806,13,18,prefinal_full
60,0.9462,0.5161,15,16,prefinal_full
65,0.9503,0.5161,15,16,prefinal_full
70,0.9448,0.4194,18,13,prefinal_full
75,0.9427,0.3548,20,11,prefinal_full
80,0.9462,0.3548,20,11,prefinal_full
85,0.9444,0.2903,22,9,prefinal_full
90,0.9451,0.2581,23,8,prefinal_full
95,0.9412,0.1613,26,5,prefinal_full
0,1.0,1.0,0,31,prefinal_early
5,0.9565,0.9677,1,30,prefinal_early
10,0.9565,0.9355,2,29,prefinal_early
15,0.9565,0.9032,3,28,prefinal_early
20,0.957,0.871,4,27,prefinal_early
25,0.9569,0.8387,5,26,prefinal_early
30,0.9496,0.7742,7,24,prefinal_early
35,0.9571,0.7742,7,24,prefinal_early
40,0.957,0.7419,8,23,prefinal_early
45,0.9617,0.7419,8,23,prefinal_early
50,0.9571,0.6774,10,21,prefinal_early
55,0.9531,0.6129,12,19,prefinal_early
60,0.9498,0.5484,14,17,prefinal_early
65,0.9404,0.4194,18,13,prefinal_early
70,0.9417,0.3871,19,12,prefinal_early
75,0.9427,0.3548,20,11,prefinal_early
80,0.9462,0.3548,20,11,prefinal_early
85,0.947,0.3226,21,10,prefinal_early
90,0.9451,0.2581,23,8,prefinal_early
95,0.9434,0.1935,25,6,prefinal_early
