threshold,pct_flagged,accuracy,kappa,false_alarm,missed_fail
-0.8314,94.9,0.5469,-0.0097,0.9539,0.0549
-0.8102,90.0,0.5265,-0.0422,0.9217,0.1172
-0.7913,84.9,0.5245,-0.0335,0.8664,0.1648
-0.7753,80.0,0.5041,-0.0649,0.8341,0.2271
-0.763,74.9,0.4735,-0.1166,0.8111,0.3004
-0.7518,70.0,0.4653,-0.1206,0.765,0.3516
-0.7445,64.9,0.4388,-0.162,0.7373,0.4212
-0.7305,60.0,0.4265,-0.1738,0.6959,0.4762
-0.7202,54.9,0.4,-0.2136,0.6682,0.5458
-0.7087,50.0,0.4082,-0.1837,0.6037,0.5824
-0.6955,45.1,0.4204,-0.1463,0.5346,0.6154
-0.6861,40.0,0.4265,-0.1213,0.47,0.6557
-0.6706,35.1,0.4265,-0.1092,0.4147,0.6996
-0.6499,30.0,0.4286,-0.0929,0.3548,0.7436
-0.6297,25.1,0.4245,-0.089,0.3041,0.7912
-0.6073,20.0,0.4265,-0.0733,0.2442,0.8352
-0.5766,15.1,0.4184,-0.0773,0.1982,0.8864
-0.5345,10.0,0.4204,-0.0621,0.1382,0.9304
-0.457,5.1,0.4367,-0.0217,0.0645,0.9597
