skip_pct,skip_precision,recall_sc_fail,n_missed,n_caught,signal
0,1.0,1.0,0,273,full_trace
5,0.4583,0.9524,13,260,full_trace
10,0.4898,0.9084,25,248,full_trace
15,0.4658,0.8571,39,234,full_trace
20,0.4082,0.7875,58,215,full_trace
25,0.4344,0.7473,69,204,full_trace
30,0.4558,0.707,80,193,full_trace
35,0.4561,0.6593,93,180,full_trace
40,0.449,0.6044,108,165,full_trace
45,0.45,0.5568,121,152,full_trace
50,0.4531,0.5092,134,139,full_trace
55,0.4461,0.4542,149,124,full_trace
60,0.4388,0.3956,165,108,full_trace
65,0.4497,0.359,175,98,full_trace
70,0.4431,0.3004,191,82,full_trace
75,0.4305,0.2344,209,64,full_trace
80,0.4388,0.1941,220,53,full_trace
85,0.4351,0.1392,235,38,full_trace
90,0.4399,0.0952,247,26,full_trace
95,0.4473,0.0586,257,16,full_trace
0,1.0,1.0,0,273,prefinal_full
5,0.375,0.9451,15,258,prefinal_full
10,0.3469,0.8828,32,241,prefinal_full
15,0.3836,0.8352,45,228,prefinal_full
20,0.3673,0.7729,62,211,prefinal_full
25,0.3361,0.7033,81,192,prefinal_full
30,0.3469,0.6484,96,177,prefinal_full
35,0.3333,0.5824,114,159,prefinal_full
40,0.3367,0.5238,130,143,prefinal_full
45,0.3273,0.4579,148,125,prefinal_full
50,0.351,0.4176,159,114,prefinal_full
55,0.3755,0.3846,168,105,prefinal_full
60,0.3912,0.3443,179,94,prefinal_full
65,0.3994,0.3004,191,82,prefinal_full
70,0.4082,0.2564,203,70,prefinal_full
75,0.4114,0.2088,216,57,prefinal_full
80,0.4184,0.1648,228,45,prefinal_full
85,0.4183,0.1136,242,31,prefinal_full
90,0.424,0.0696,254,19,prefinal_full
95,0.4366,0.0403,262,11,prefinal_full
0,1.0,1.0,0,273,prefinal_early
5,0.375,0.9451,15,258,prefinal_early
10,0.2857,0.8718,35,238,prefinal_early
15,0.3014,0.8132,51,222,prefinal_early
20,0.3469,0.7656,64,209,prefinal_early
25,0.377,0.7216,76,197,prefinal_early
30,0.381,0.6667,91,182,prefinal_early
35,0.3626,0.6007,109,164,prefinal_early
40,0.3622,0.5421,125,148,prefinal_early
45,0.3636,0.4872,140,133,prefinal_early
50,0.3837,0.4469,151,122,prefinal_early
55,0.3792,0.3883,167,106,prefinal_early
60,0.3946,0.348,178,95,prefinal_early
65,0.3994,0.3004,191,82,prefinal_early
70,0.4082,0.2564,203,70,prefinal_early
75,0.4196,0.2198,213,60,prefinal_early
80,0.4235,0.1722,226,47,prefinal_early
85,0.4351,0.1392,235,38,prefinal_early
90,0.4308,0.0806,251,22,prefinal_early
95,0.4366,0.0403,262,11,prefinal_early
