skip_pct,skip_precision,recall_sc_fail,n_missed,n_caught,signal
0,1.0,1.0,0,220,full_trace
5,0.5714,0.9591,9,211,full_trace
10,0.4651,0.8955,23,197,full_trace
15,0.4462,0.8364,36,184,full_trace
20,0.4138,0.7682,51,169,full_trace
25,0.4404,0.7227,61,159,full_trace
30,0.4538,0.6773,71,149,full_trace
35,0.4671,0.6318,81,139,full_trace
40,0.477,0.5864,91,129,full_trace
45,0.4592,0.5182,106,114,full_trace
50,0.4725,0.4773,115,105,full_trace
55,0.5021,0.4591,119,101,full_trace
60,0.5096,0.4182,128,92,full_trace
65,0.5265,0.3909,134,86,full_trace
70,0.5148,0.3273,148,72,full_trace
75,0.5107,0.2727,160,60,full_trace
80,0.5172,0.2364,168,52,full_trace
85,0.5135,0.1818,180,40,full_trace
90,0.5102,0.1273,192,28,full_trace
95,0.5,0.0591,207,13,full_trace
0,1.0,1.0,0,220,prefinal_full
5,0.3333,0.9364,14,206,prefinal_full
10,0.4419,0.8909,24,196,prefinal_full
15,0.4154,0.8273,38,182,prefinal_full
20,0.4023,0.7636,52,168,prefinal_full
25,0.4312,0.7182,62,158,prefinal_full
30,0.4231,0.6591,75,145,prefinal_full
35,0.4079,0.5909,90,130,prefinal_full
40,0.3966,0.5227,105,115,prefinal_full
45,0.4082,0.4727,116,104,prefinal_full
50,0.422,0.4273,126,94,prefinal_full
55,0.4351,0.3864,135,85,prefinal_full
60,0.4406,0.3364,146,74,prefinal_full
65,0.4452,0.2864,157,63,prefinal_full
70,0.4656,0.2591,163,57,prefinal_full
75,0.4771,0.2227,171,49,prefinal_full
80,0.4885,0.1909,178,42,prefinal_full
85,0.4946,0.15,187,33,prefinal_full
90,0.4923,0.0955,199,21,prefinal_full
95,0.4976,0.0545,208,12,prefinal_full
0,1.0,1.0,0,220,prefinal_early
5,0.4762,0.95,11,209,prefinal_early
10,0.5116,0.9045,21,199,prefinal_early
15,0.4923,0.85,33,187,prefinal_early
20,0.4713,0.7909,46,174,prefinal_early
25,0.4587,0.7318,59,161,prefinal_early
30,0.4462,0.6727,72,148,prefinal_early
35,0.4605,0.6273,82,138,prefinal_early
40,0.4713,0.5818,92,128,prefinal_early
45,0.4745,0.5318,103,117,prefinal_early
50,0.4771,0.4818,114,106,prefinal_early
55,0.4895,0.4455,122,98,prefinal_early
60,0.4981,0.4045,131,89,prefinal_early
65,0.5053,0.3636,140,80,prefinal_early
70,0.5016,0.3091,152,68,prefinal_early
75,0.5046,0.2636,162,58,prefinal_early
80,0.5144,0.2318,169,51,prefinal_early
85,0.5081,0.1727,182,38,prefinal_early
90,0.5,0.1091,196,24,prefinal_early
95,0.5,0.0591,207,13,prefinal_early
